Molecule,Target,Value,Unit,Parameter,ScaID
IQTBMDSOBZUIII-UHFFFAOYSA-N,ALBU,400.0,nM,Ki,Sca196086
JOYJBDOUGWZXJT-UHFFFAOYSA-N,RET4,28.0,nM,IC50,Sca53380
JOYJBDOUGWZXJT-UHFFFAOYSA-N,RET4,270.0,nM,IC50,Sca53380
KAAROBOCNKCFPR-UHFFFAOYSA-N,RET4,35.3,nM,IC50,Sca53380
KAAROBOCNKCFPR-UHFFFAOYSA-N,RET4,188.0,nM,IC50,Sca53380
JTROMNJXIJLLPR-UHFFFAOYSA-N,RET4,132.0,nM,IC50,Sca53380
JTROMNJXIJLLPR-UHFFFAOYSA-N,RET4,4.1,nM,IC50,Sca53380
ORLLCLBYZWKITR-UHFFFAOYSA-N,RET4,480.0,nM,IC50,Sca32142
ORLLCLBYZWKITR-UHFFFAOYSA-N,RET4,670.0,nM,IC50,Sca32142
KKTCQIPPUNTAAA-CGUDRZBZSA-N,NPCL1,360.0,nM,EC50,Sca10334
GXPXZNYXARNSJU-YRZXLHNISA-N,NPCL1,1000.0,nM,EC50,Sca10334
XSLPBDIUBNXKFX-ACBDEFBISA-N,NPCL1,880.0,nM,EC50,Sca128
ZCVIBQLRHCRSAC-VPEWLHCBSA-N,NPCL1,150.0,nM,EC50,Sca10334
MHJNIFPTUPTBCA-NISAUSBYSA-N,NPCL1,360.0,nM,EC50,Sca128
FTJSRBDTNXQZRL-ANZMIORLSA-N,NPCL1,370.0,nM,EC50,Sca10334
OLNTVTPDXPETLC-XPWALMASSA-N,NPCL1,45.0,%,Inhibition,Sca7699
OLNTVTPDXPETLC-XPWALMASSA-N,NPCL1,200.0,nM,Ki,Sca7699
FZLCUDHROXCSKR-UHFFFAOYSA-N,SCRB1,500.0,nM,IC50,Sca771
TYOUBEAPKZQVRT-UHFFFAOYSA-N,SCRB1,50.0,nM,IC50,Sca771
NDAZATDQFDPQBD-UHFFFAOYSA-N,TRAP1,16.0,nM,Ki,Sca103054
NDAZATDQFDPQBD-UHFFFAOYSA-N,TRAP1,38.0,nM,IC50,Sca103054
NDAZATDQFDPQBD-UHFFFAOYSA-N,ENPL,4.0,nM,Ki,Sca103054
PVGOQRJICUIPTG-UHFFFAOYSA-N,KMO,3.98,nM,IC50,Sca4237
WVTSKZKNRPBXCK-NRFANRHFSA-N,ITAL,550.0,nM,IC50,Sca48784
OSHCCAHIHYVBQE-SFHVURJKSA-N,ITAL,430.0,nM,IC50,Sca48784
PBWGNAKIFNSLLR-SFHVURJKSA-N,ITAL,240.0,nM,IC50,Sca48784
UYAOSISJVXIDNR-GOSISDBHSA-N,SC5A5,70.0,nM,IC50,Sca7908
UYAOSISJVXIDNR-UHFFFAOYSA-N,SC5A5,89.0,nM,IC50,Sca7908
FANCTJAFZSYTIS-IQUVVAJASA-N,CP27B,554.0,nM,IC50,Sca15490
QMVYNHXRCVEECP-ZHACJKMWSA-N,CP27B,34.0,nM,Ki,Sca247678
QMVYNHXRCVEECP-ZHACJKMWSA-N,CP27B,210.0,nM,IC50,Sca247678
GDKHKECTYMDENM-VAWYXSNFSA-N,CP27B,150.0,nM,IC50,Sca247678
GDKHKECTYMDENM-VAWYXSNFSA-N,CP27B,25.0,nM,Ki,Sca247678
JNCMZCZFSIAVQJ-BQYQJAHWSA-N,CP27B,140.0,nM,IC50,Sca247678
JNCMZCZFSIAVQJ-BQYQJAHWSA-N,CP27B,22.0,nM,Ki,Sca247678
ILIVVUDENIQBQC-CMDGGOBGSA-N,CP27B,17.0,nM,Ki,Sca247678
ILIVVUDENIQBQC-CMDGGOBGSA-N,CP27B,100.0,nM,IC50,Sca247678
ZATPRXWLTXOXAQ-UHFFFAOYSA-N,CENPE,50.0,nM,IC50,Sca36695
ZBOYJODMIAUJHH-SANMLTNESA-N,PD1L1,6.0,nM,IC50,Sca116604
WIPLIOVSJOEWFD-SANMLTNESA-N,PD1L1,6.0,nM,IC50,Sca116604
GNYNBRZJXZBMFG-UHFFFAOYSA-N,PD1L1,110.0,nM,IC50,Sca116604
WDFSHXFIISIKKK-ARDBLLEVSA-N,OGRL1,823.29,nM,Ki,Sca7247
JHEVLALGAHRXET-TXBRMEKUSA-N,OGRL1,532.0,nM,Ki,Sca7247
MYQNMAVASRUUIC-SPOUTXRISA-N,OGRL1,569.0,nM,Ki,Sca7248
HAEQQPWTMBVMLJ-UHFFFAOYSA-N,PADI4,240.0,nM,IC50,Sca2607
UMMNKCUSQIKSGP-UHFFFAOYSA-N,PADI4,640.0,nM,IC50,Sca2607
UMMNKCUSQIKSGP-UHFFFAOYSA-N,PADI4,20100.0,nM,Ki,Sca2607
UMMNKCUSQIKSGP-UHFFFAOYSA-N,PADI2,320.0,nM,IC50,Sca2607
UMMNKCUSQIKSGP-UHFFFAOYSA-N,PADI2,8080.0,nM,Ki,Sca2607
HAEQQPWTMBVMLJ-UHFFFAOYSA-N,PADI2,200.0,nM,IC50,Sca2607
RXLXBIHPMQBGOC-FUKCDUGKSA-N,GCKR,1450.0,nM,EC50,Sca27558
RXLXBIHPMQBGOC-FUKCDUGKSA-N,GCKR,69.0,nM,IC50,Sca27558
TUNFCKFZFPSXAU-VBKFSLOCSA-N,SYUA,507.6,nM,Ki,Sca6456
YJAAMQCVFGGTKS-MTOANXPYSA-N,SYUA,63.7,nM,Ki,Sca6456
DSRMGPWSWGJUFD-ZMVJNSKBSA-N,SYUA,45.3,nM,Ki,Sca6456
FARYBMWDOPWSQD-LGMDPLHJSA-N,SYUA,342.6,nM,Ki,Sca6456
