"Target","Molecule"
"CP3A4","ATOKVTDUHKZLMB-UHFFFAOYSA-N"
"CP3A4","DVGGLGXQSFURLP-VWMSDXGPSA-N"
"CP3A4","NFKNHAHXAMZIFN-UHFFFAOYSA-N"
"C11B2","NBDGMNQECKEFTB-UHFFFAOYSA-N"
"CP17A","NBDGMNQECKEFTB-UHFFFAOYSA-N"
"C11B2","PXOBFFWELDGRSQ-UHFFFAOYSA-N"
"CP17A","PXOBFFWELDGRSQ-UHFFFAOYSA-N"
"CP3A4","KBAQNZRYJNJHIN-UHFFFAOYSA-N"
"CP19A","RHGAFWMGLUFSHI-MOPGFXCFSA-N"
"CP2C9","AFWUGCDAGKBALB-UHFFFAOYSA-N"
"CP17A","KSFRRPAHIDJCHM-XEYOUOGVSA-N"
"CP17A","OGLBWWJBMOOWAU-SFLNLBOUSA-N"
"C11B2","WJTVYTACNCPTPQ-UHFFFAOYSA-N"
"C11B1","WJTVYTACNCPTPQ-UHFFFAOYSA-N"
"CP3A4","KAEZOVLEAHIZGN-UHFFFAOYSA-N"
"CP3A4","HSUGRBWQSSZJOP-RTWAWAEBSA-N"
"CP3A4","ROMRTXMEQJYJJZ-UHFFFAOYSA-N"
"CP2CJ","ROMRTXMEQJYJJZ-UHFFFAOYSA-N"
"CP3A4","IRQIBOAVBGKTBW-UHFFFAOYSA-N"
"CP2C9","IRQIBOAVBGKTBW-UHFFFAOYSA-N"
"CP3A4","PRIKHRTWFXDNDC-UHFFFAOYSA-N"
"C11B2","LRTLFSHCMRWKGY-UHFFFAOYSA-N"
"C11B1","LRTLFSHCMRWKGY-UHFFFAOYSA-N"
"CP2C9","MVEYHUFYLLSGSR-UHFFFAOYSA-N"
"C11B2","MOUHKVCNIZIARN-UHFFFAOYSA-N"
"CP1A2","KWULQQPKJVEXMY-UHFFFAOYSA-N"
"CP2D6","OSRBIQHRPHNLEN-UHFFFAOYSA-N"
"CP2C9","OSRBIQHRPHNLEN-UHFFFAOYSA-N"
"CP3A4","UPMYXXWLKPRNBD-RUZDIDTESA-N"
"CP24A","LQGYKHNSMDUBEX-UHFFFAOYSA-N"
"CP3A4","SLIFTHAOQMHZDP-UHFFFAOYSA-N"
"CP3A4","ITUKYMGUUJBALP-UHFFFAOYSA-N"
"C11B2","SLIFTHAOQMHZDP-UHFFFAOYSA-N"
"C11B2","ITUKYMGUUJBALP-UHFFFAOYSA-N"
"C11B1","SLIFTHAOQMHZDP-UHFFFAOYSA-N"
"C11B1","ITUKYMGUUJBALP-UHFFFAOYSA-N"
"THAS","RMGXUWDQFIYRBZ-UHFFFAOYSA-N"
"CP19A","AGDFPJBCGAJMIS-UHFFFAOYSA-N"
"CP2C9","KBDZMHUBIGWJPD-UHFFFAOYSA-N"
"CP1A2","KBDZMHUBIGWJPD-UHFFFAOYSA-N"
"CP1A2","SBDOPCIVOPZGMV-UHFFFAOYSA-N"
"CP2D6","HAKKERAGHOXDDR-UHFFFAOYSA-N"
"CP3A4","DTNUQCRCHKWJCE-PKLMIRHRSA-N"
"CP3A4","JUCJQZNUMLLICR-UHFFFAOYSA-N"
"CP2C9","JUCJQZNUMLLICR-UHFFFAOYSA-N"
"CP3A4","HBNPJJILLOYFJU-VMPREFPWSA-N"
"CP2D6","HBNPJJILLOYFJU-VMPREFPWSA-N"
"CP2CJ","BBEBKAGLYIMBCE-UHFFFAOYSA-N"
"CP2CJ","JSTVKVBTXCGTLN-UHFFFAOYSA-N"
"CP3A4","HUPNMGIBODMDOH-UHFFFAOYSA-N"
"CP3A4","YAPJZGXRIHUBAY-UHFFFAOYSA-N"
"CP2CJ","HUPNMGIBODMDOH-UHFFFAOYSA-N"
"CP2CJ","GEPUTKWSUKGITG-UHFFFAOYSA-N"
"CP3A4","ATALOFNDEOCMKK-OITMNORJSA-N"
"CP3A4","DYJSODVHTVCXIA-QHCPKHFHSA-N"
"CP2CJ","DYJSODVHTVCXIA-QHCPKHFHSA-N"
"CP3A4","MWWLVSZLKTULPS-UHFFFAOYSA-N"
"C11B2","XDFGFMSHVHUFHW-UHFFFAOYSA-N"
"C11B1","XDFGFMSHVHUFHW-UHFFFAOYSA-N"
"CP3A4","JVNKLECJDZSZDR-GMQQYTKMSA-N"
"CP1A2","DVDLZLUKYIFIOR-UHFFFAOYSA-N"
"CP3A4","GYQHHRDRGBGZKH-UHFFFAOYSA-N"
"CP3A4","MSHULPIKNRKAQH-QZTJIDSGSA-N"
"CP2D6","MSHULPIKNRKAQH-QZTJIDSGSA-N"
"CP2D6","MTYFDEYZRYWPAI-DNQXCXABSA-N"
"CP3A4","RWTBFMYLCXHAKG-NRFANRHFSA-N"
"C11B2","PZPZHHNJIWLCNC-POHAHGRESA-N"
"C11B2","FXLOWXDBTSZJFZ-XFFZJAGNSA-N"
"C11B2","SNWLVVNOSVKKRA-UXBLZVDNSA-N"
"C11B2","PZPZHHNJIWLCNC-UXBLZVDNSA-N"
"C11B2","FXLOWXDBTSZJFZ-YRNVUSSQSA-N"
"C11B2","KVRYTKBSTLSXKC-XFXZXTDPSA-N"
"C11B1","PZPZHHNJIWLCNC-POHAHGRESA-N"
"C11B1","FXLOWXDBTSZJFZ-XFFZJAGNSA-N"
"C11B1","SNWLVVNOSVKKRA-UXBLZVDNSA-N"
"C11B1","PZPZHHNJIWLCNC-UXBLZVDNSA-N"
"C11B1","FXLOWXDBTSZJFZ-YRNVUSSQSA-N"
"C11B1","KVRYTKBSTLSXKC-XFXZXTDPSA-N"
"CP19A","PZPZHHNJIWLCNC-POHAHGRESA-N"
"CP19A","FXLOWXDBTSZJFZ-XFFZJAGNSA-N"
"CP19A","SNWLVVNOSVKKRA-UXBLZVDNSA-N"
"CP19A","PZPZHHNJIWLCNC-UXBLZVDNSA-N"
"CP19A","FXLOWXDBTSZJFZ-YRNVUSSQSA-N"
"CP19A","KVRYTKBSTLSXKC-XFXZXTDPSA-N"
"CP2CJ","WFDHLKUQFQCHKF-UHFFFAOYSA-N"
"CP2C9","WFDHLKUQFQCHKF-UHFFFAOYSA-N"
"CP2C8","WFDHLKUQFQCHKF-UHFFFAOYSA-N"
"CP3A4","ONHFEABHFHNJOU-UHFFFAOYSA-N"
"CP3A4","WQBAZXIQANTUOY-KRWDZBQOSA-N"
"C11B2","CWQIYOHKMPSADC-UHFFFAOYSA-N"
"CP3A4","YVITVABZYDPMHU-UHFFFAOYSA-N"
"CP2C9","YVITVABZYDPMHU-UHFFFAOYSA-N"
"CP19A","NSERFLUCMWRPGI-UHFFFAOYSA-N"
"C11B2","IRIDOYGIOXFPNA-UHFFFAOYSA-N"
"CP19A","IRIDOYGIOXFPNA-UHFFFAOYSA-N"
"CP17A","IRIDOYGIOXFPNA-UHFFFAOYSA-N"
"CP1A1","SGCHHBNZVHGDCN-UHFFFAOYSA-N"
"CP1A1","MLKMZXXASLGEPG-UHFFFAOYSA-N"
"CP1A2","MLKMZXXASLGEPG-UHFFFAOYSA-N"
"CP2C9","QTWZLGJMQCNKFJ-UHFFFAOYSA-N"
"CP2D6","SMTXKVURUPJKNQ-OAQYLSRUSA-N"
"CP2D6","UFUDJJBHRBMKDD-UHFFFAOYSA-N"
"CP2C9","UFUDJJBHRBMKDD-UHFFFAOYSA-N"
"CP2C8","UFUDJJBHRBMKDD-UHFFFAOYSA-N"
"CP3A4","HPCPCLJRBNRLLW-UHFFFAOYSA-N"
"CP2D6","NEPGOHXZJPYLLQ-UHFFFAOYSA-N"
"CP3A4","IKUISOBQXBKHEE-UHFFFAOYSA-N"
"CP3A4","CKZFVWOHYQPQSY-UHFFFAOYSA-N"
"CP3A4","AMGZVHXDDMROJU-UHFFFAOYSA-N"
"CP1A2","CLRZKWDDCHPPFI-UHFFFAOYSA-N"
"CP2C8","YPXHRVREWGTCMZ-UXHICEINSA-N"
"CP3A4","MOQYJMVBPKWDGC-UXHICEINSA-N"
"CP2C9","MOQYJMVBPKWDGC-UXHICEINSA-N"
"CP1A2","CZQHHVNHHHRRDU-UHFFFAOYSA-N"
"CP3A4","MCPPMOSBWNMSOA-UHFFFAOYSA-N"
"CP2CJ","WQCVKQKJPUHDNW-UHFFFAOYSA-N"
"CP2D6","BGRWOLNAPSRJIS-BJZITVGISA-N"
"CP3A4","IWFKTDGQARWPEC-MAYPULDCSA-N"
"CP2CJ","CYCDARWXZPYIBX-UHFFFAOYSA-N"
"CP2C9","CYCDARWXZPYIBX-UHFFFAOYSA-N"
"CP3A4","JAJZURBQJLCEQE-UHFFFAOYSA-N"
"CP3A4","GVIKXRIOBFGDFP-UHFFFAOYSA-N"
"CP3A4","YFFZLXAPKOKACC-UHFFFAOYSA-N"
"CP3A4","GVURCJXFYIMVMG-UHFFFAOYSA-N"
"CP2D6","YFFZLXAPKOKACC-UHFFFAOYSA-N"
"CP2D6","GVURCJXFYIMVMG-UHFFFAOYSA-N"
"CP2CJ","JAJZURBQJLCEQE-UHFFFAOYSA-N"
"CP2CJ","GVIKXRIOBFGDFP-UHFFFAOYSA-N"
"CP2CJ","YFFZLXAPKOKACC-UHFFFAOYSA-N"
"CP1A2","UEUUWJVQGWZIJY-UHFFFAOYSA-N"
"CP2C9","QBOWGZQRUNUQGL-ZDLGFXPLSA-N"
"CP3A4","WGEHOPBYUQXTMK-UHFFFAOYSA-N"
"CP2C9","JBZRAEUHDPMQSF-UHFFFAOYSA-N"
"CP2D6","YYZODXXLBSUZSX-UHFFFAOYSA-N"
"CP2CJ","YYZODXXLBSUZSX-UHFFFAOYSA-N"
"CP2D6","NSLNAFLIDKTSFM-UHFFFAOYSA-N"
"CP2CJ","NSLNAFLIDKTSFM-UHFFFAOYSA-N"
"CP2C9","NSLNAFLIDKTSFM-UHFFFAOYSA-N"
"CP3A4","HGXZDFUNUJFDRQ-UHFFFAOYSA-N"
