"","Target","Molecule","Scaffold"
"68","KIF11","HLLSMWRIVCVNPC-UHFFFAOYSA-N","Sca24288"
"69","KIF11","SEXCJDFKWPAKKO-UHFFFAOYSA-N","Sca152756"
"70","KIF11","OZYDBDUDGNXUNU-UHFFFAOYSA-N","Sca4317"
"71","KIF11","LOLFKKQHIFLOFL-UHFFFAOYSA-N","Sca152756"
"72","KIF11","LSUCOXDOQAEXKL-UHFFFAOYSA-N","Sca24288"
"73","KIF11","GUEBRLZPFWEFBT-UHFFFAOYSA-N","Sca158910"
"74","KIF11","GUEBRLZPFWEFBT-UHFFFAOYSA-N","Sca24289"
"75","KIF11","NWQGWFQMZIAQGH-UHFFFAOYSA-N","Sca152756"
"76","KIF11","XDHCXBRJKTWUNW-DEOSSOPVSA-N","Sca8548"
"77","KIF11","OSSVSMDGQRWKKE-UHFFFAOYSA-N","Sca10122"
"78","KIF11","UWGJGMJVRLOOKQ-UHFFFAOYSA-N","Sca10122"
"79","KIF11","SGPBCFRSJZPAQO-UHFFFAOYSA-N","Sca158910"
"80","KIF11","SGPBCFRSJZPAQO-UHFFFAOYSA-N","Sca24289"
"81","KIF11","VZJZHIKRRFMIGO-UHFFFAOYSA-N","Sca158910"
"82","KIF11","VZJZHIKRRFMIGO-UHFFFAOYSA-N","Sca24289"
"83","KIF11","HDQXKARBJCKMRU-UHFFFAOYSA-N","Sca8548"
"84","KIF11","BTYXAYFKYZQQTA-UHFFFAOYSA-N","Sca152756"
"85","KIF11","NWFWLXVUCFLSOQ-UHFFFAOYSA-N","Sca158910"
"86","KIF11","NWFWLXVUCFLSOQ-UHFFFAOYSA-N","Sca24289"
"87","KIF11","WEBKXJQYYGVMJI-UHFFFAOYSA-N","Sca152756"
"88","KIF11","OHLDJJXRTLZQSU-NRFANRHFSA-N","Sca158910"
"89","KIF11","OHLDJJXRTLZQSU-NRFANRHFSA-N","Sca24289"
"90","KIF11","AZJCZEZHRKVWAX-UHFFFAOYSA-N","Sca152756"
"91","KIF11","SQGYSFDZVYSROA-UHFFFAOYSA-N","Sca158910"
"92","KIF11","SQGYSFDZVYSROA-UHFFFAOYSA-N","Sca24289"
"93","KIF11","QJBOHADGMLFYLD-UHFFFAOYSA-N","Sca158910"
"94","KIF11","QJBOHADGMLFYLD-UHFFFAOYSA-N","Sca24289"
