"","TargetName","Scaffold","MolNum"
"348","MCL1_HUMAN","Sca105925",1
"349","B2LA1_HUMAN","Sca105925",1
"350","B2L10_HUMAN","Sca105925",1
"351","BAD_HUMAN","Sca105925",1
"352","5HT1A_RAT","Sca105966",14
"353","5HT1A_HUMAN","Sca105966",1
"354","5HT7R_HUMAN","Sca105966",42
"355","MRP5_HUMAN","Sca106072",1
"356","TRPA1_HUMAN","Sca106083",1
"357","TRPA1_RAT","Sca106083",1
"358","TRPA1_MOUSE","Sca106083",1
"359","CHLE_MOUSE","Sca106165",1
"360","ACES_MOUSE","Sca106165",1
"361","PIM3_HUMAN","Sca106167",1
"362","DYRK2_HUMAN","Sca106167",1
"363","PIM2_HUMAN","Sca106167",1
"364","KKCC2_HUMAN","Sca106167",1
"365","KKCC1_HUMAN","Sca106167",1
"366","MKNK1_HUMAN","Sca106167",1
"367","BACE1_HUMAN","Sca106199",9
"368","GRM5_HUMAN","Sca106199",1
"369","GRM1_HUMAN","Sca106199",1
"370","CHLE_HUMAN","Sca106239",3
"371","ACES_HUMAN","Sca106239",2
"372","CNR2_HUMAN","Sca106239",1
"373","CNR1_HUMAN","Sca106239",1
"374","TNI3K_HUMAN","Sca106263",1
"375","BRAF_HUMAN","Sca106263",1
"376","GSK3B_MOUSE","Sca106263",1
"377","CAC1C_RAT","Sca106280",2
"378","MDR1_HUMAN","Sca106280",1
"379","ADA1A_HUMAN","Sca106280",2
"380","ADA1B_HUMAN","Sca106280",2
"381","ADA1D_HUMAN","Sca106280",2
"382","KC1D_RAT","Sca106303",1
"383","KC1D_HUMAN","Sca106303",1
"384","AA2BR_HUMAN","Sca106334",10
"385","AA2AR_HUMAN","Sca106334",7
"386","TRY1_HUMAN","Sca10647",2
"387","FA7_HUMAN","Sca10647",3
"388","THRB_HUMAN","Sca10647",3
"389","MK08_RAT","Sca106736",1
"390","MK08_HUMAN","Sca106736",2
"391","CCKAR_MOUSE","Sca106759",1
"392","GASR_MOUSE","Sca106759",1
"393","PE2R4_MOUSE","Sca10689",1
"394","P2RX7_HUMAN","Sca10689",4
"395","CATK_HUMAN","Sca10689",1
"396","5HT7R_HUMAN","Sca106893",57
"397","ADA2B_HUMAN","Sca1069",1
"398","ADA2C_HUMAN","Sca1069",1
"399","ADA2A_HUMAN","Sca1069",1
"400","CETP_HUMAN","Sca1069",1
"401","PH4H_HUMAN","Sca1070",1
"402","PUR2_HUMAN","Sca107147",1
"403","5HT2B_HUMAN","Sca107158",2
"404","5HT2A_HUMAN","Sca107158",3
"405","5HT2C_HUMAN","Sca107158",2
"406","GPBAR_HUMAN","Sca107158",2
"407","KIT_HUMAN","Sca107167",1
"408","FLT3_HUMAN","Sca107167",1
"409","CSF1R_MOUSE","Sca107167",19
"410","PE2R4_HUMAN","Sca107174",15
"411","TA2R_HUMAN","Sca107174",1
"412","THRB_HUMAN","Sca107210",1
"413","FA11_HUMAN","Sca107210",1
"414","PE2R4_HUMAN","Sca107277",4
"415","PF2R_HUMAN","Sca107277",1
"416","PE2R2_HUMAN","Sca107277",1
"417","TA2R_HUMAN","Sca107277",1
"418","PD2R_HUMAN","Sca107277",1
"419","KS6A3_HUMAN","Sca107279",3
"420","KPCA_HUMAN","Sca107325",1
"421","KPCG_HUMAN","Sca107325",1
"422","KPCB_HUMAN","Sca107325",1
"423","PPARG_MOUSE","Sca107357",4
"424","CSF1R_HUMAN","Sca107442",13
"425","HDA11_HUMAN","Sca107454",1
"426","HDAC1_HUMAN","Sca107454",6
"427","HDAC3_HUMAN","Sca107454",1
"428","HDAC2_HUMAN","Sca107454",2
"429","KCC2D_HUMAN","Sca107520",1
"430","ADRB2_HUMAN","Sca10755",1
"431","THRB_HUMAN","Sca10755",2
"432","P2RX7_RAT","Sca107562",1
"433","C11B2_RAT","Sca10757",1
"434","C11B2_MOUSE","Sca10757",1
"435","C11B2_HUMAN","Sca10757",7
"436","C11B1_RAT","Sca10757",1
"437","C11B1_HUMAN","Sca10757",3
"438","CP19A_HUMAN","Sca10757",10
"439","5HT2B_HUMAN","Sca107598",1
"440","5HT2A_HUMAN","Sca107598",1
"441","CSF1R_HUMAN","Sca107624",2
"442","HDAC1_HUMAN","Sca107624",3
"443","HDAC3_HUMAN","Sca107624",1
"444","HDAC2_HUMAN","Sca107624",1
"445","KCNH2_HUMAN","Sca107746",1
"446","DRD3_HUMAN","Sca107746",1
"447","ADA1A_HUMAN","Sca10786",2
"448","ADA1B_HUMAN","Sca10786",2
"449","ADA1D_HUMAN","Sca10786",2
"450","5HT1A_HUMAN","Sca10786",5
"451","DRD4_HUMAN","Sca10786",2
"452","PDPK1_HUMAN","Sca107861",1
"453","AKT1_HUMAN","Sca107861",5
"454","GCR_HUMAN","Sca107924",38
"455","SRC_HUMAN","Sca107961",2
"456","EGFR_HUMAN","Sca107961",1
"457","AURKA_HUMAN","Sca107961",14
"458","AURKB_HUMAN","Sca107961",2
"459","HRH3_RAT","Sca108005",12
"460","NMDZ1_RAT","Sca10811",1
"461","ADA2B_HUMAN","Sca1082",1
"462","ADA2A_HUMAN","Sca1082",1
"463","PDE4B_HUMAN","Sca1082",1
"464","CALRL_HUMAN","Sca108239",25
"465","BACE1_HUMAN","Sca108247",1
"466","CATE_HUMAN","Sca108247",1
"467","CATD_HUMAN","Sca108247",1
"468","AA3R_HUMAN","Sca108291",3
"469","CXCR2_HUMAN","Sca108291",1
"470","CATL1_HUMAN","Sca10838",13
"471","CATL2_HUMAN","Sca10838",2
"472","CATS_HUMAN","Sca10838",9
"473","CATK_RAT","Sca10838",7
"474","CATK_HUMAN","Sca10838",15
"475","CATB_HUMAN","Sca10838",3
"476","OPRD_RAT","Sca10852",8
"477","OPRD_MOUSE","Sca10852",2
"478","OPRD_HUMAN","Sca10852",5
"479","OPRM_RAT","Sca10852",8
"480","OPRM_HUMAN","Sca10852",1
"481","P2RX7_HUMAN","Sca108558",2
"482","ANDR_HUMAN","Sca108558",1
"483","LYAG_RAT","Sca108643",1
"484","MK14_MOUSE","Sca108694",4
"485","MK14_HUMAN","Sca108694",4
"486","DPP4_RAT","Sca108701",10
"487","DPP4_HUMAN","Sca108701",10
"488","HRH3_HUMAN","Sca108706",10
"489","SC6A4_RAT","Sca108706",8
"490","SC6A4_HUMAN","Sca108706",8
"491","SC6A3_HUMAN","Sca108706",1
"492","HYES_RAT","Sca108718",1
"493","S1PR1_HUMAN","Sca108728",2
"494","ACACB_HUMAN","Sca108728",19
"495","BAD_HUMAN","Sca108851",1
"496","VGFR2_HUMAN","Sca10887",3
"497","ERBB2_RAT","Sca10887",2
"498","BRAF_HUMAN","Sca10887",1
"499","THRB_HUMAN","Sca1089",4
"500","CATK_HUMAN","Sca1089",1
"501","5HT1A_HUMAN","Sca10890",1
"502","DRD2_RAT","Sca10890",1
"503","VGFR2_HUMAN","Sca108982",33
"504","ERBB2_RAT","Sca10900",2
"505","EGFR_HUMAN","Sca10903",2
"506","ERBB2_RAT","Sca10903",1
"507","ERBB2_HUMAN","Sca10903",2
"508","EZH2_HUMAN","Sca109051",1
"509","CNR2_HUMAN","Sca109051",32
"510","CNR1_HUMAN","Sca109051",19
"511","NK1R_RAT","Sca109068",2
"512","NK1R_HUMAN","Sca109068",2
"513","OPRD_HUMAN","Sca109068",2
"514","OPRM_RAT","Sca109068",2
"515","KCNH2_HUMAN","Sca109214",6
"516","CCR1_HUMAN","Sca109214",26
"517","LCK_HUMAN","Sca109296",2
"518","YES_HUMAN","Sca109296",2
"519","SRC_HUMAN","Sca109296",2
"520","EPHB4_HUMAN","Sca109296",5
"521","ABL1_HUMAN","Sca109296",1
"522","5HT1A_HUMAN","Sca109373",6
"523","5HT7R_HUMAN","Sca109373",6
"524","CNR2_HUMAN","Sca109418",40
"525","CNR1_HUMAN","Sca109418",82
"526","SC5A1_HUMAN","Sca109475",7
"527","SC5A2_HUMAN","Sca109475",6
"528","SC5A2_MOUSE","Sca109475",3
"529","ADA1A_HUMAN","Sca109484",3
"530","5HT1A_HUMAN","Sca109484",5
"531","DRD3_HUMAN","Sca109484",3
"532","DRD2_HUMAN","Sca109484",3
"533","TGFR1_HUMAN","Sca10953",1
"534","EGFR_HUMAN","Sca10953",1
"535","ERBB2_RAT","Sca10953",2
"536","ERBB2_HUMAN","Sca10953",13
"537","VGFR2_HUMAN","Sca109563",30
"538","MET_HUMAN","Sca109563",2
"539","CLK1_HUMAN","Sca10957",1
"540","SIR2_HUMAN","Sca109602",1
"541","PAK4_HUMAN","Sca109624",4
"542","MTOR_HUMAN","Sca109624",13
"543","PK3CB_HUMAN","Sca109634",2
"544","PAK4_HUMAN","Sca109634",2
"545","MTOR_HUMAN","Sca109634",12
"546","CAH7_HUMAN","Sca109797",1
"547","CAH12_HUMAN","Sca109797",1
"548","ALDH2_RAT","Sca109863",2
"549","HASP_HUMAN","Sca109940",1
"550","GP183_HUMAN","Sca10997",1
"551","KPCD_HUMAN","Sca110064",1
"552","KPCA_HUMAN","Sca110064",1
"553","SCN8A_MOUSE","Sca110109",1
"554","SCN4A_RAT","Sca110109",1
"555","SCN4A_MOUSE","Sca110109",1
"556","AAPK1_RAT","Sca110117",1
"557","GRM5_RAT","Sca110117",84
"558","NMDE2_RAT","Sca110128",1
"559","NMDE4_RAT","Sca110128",1
"560","ACES_HUMAN","Sca11017",2
"561","AA1R_HUMAN","Sca11017",6
"562","AA2AR_HUMAN","Sca11017",11
"563","EGFR_HUMAN","Sca11017",1
